Date,Air Temp (F),Dewpoint (F),Precip (inches),Wind Speed (mph)
01/07/2017 14:00 EST,20,17,0.03,11.5
01/07/2017 15:00 EST,20,17,0.03,3.5
01/07/2017 16:00 EST,20,18,0.03,5.8
01/07/2017 17:00 EST,20,17,0.05,6.9
01/07/2017 18:00 EST,20,17,0.03,10.4
01/07/2017 19:00 EST,20,17,0.03,4.6
01/07/2017 20:00 EST,21,17,0.01,5.2
01/07/2017 21:00 EST,21,16,0,5.8
01/07/2017 22:00 EST,21,16,0,3.5
01/07/2017 23:00 EST,21,15,0,3.5
01/08/2017 00:00 EST,21,12,0,12.7
01/08/2017 01:00 EST,20,8,0,8.1
01/08/2017 02:00 EST,19,8,0,11.5
01/08/2017 03:00 EST,19,6,0,9.2
01/08/2017 04:00 EST,18,7,0,6.9
01/08/2017 05:00 EST,18,6,0,3.5
01/08/2017 06:00 EST,17,6,0,8.1
01/08/2017 07:00 EST,17,5,0,6.9
01/08/2017 08:00 EST,17,5,0,9.2
01/08/2017 09:00 EST,17,3,0,12.7
01/08/2017 10:00 EST,18,3,0,15
01/08/2017 11:00 EST,19,3,0,13.8
01/08/2017 12:00 EST,20,4,0,6.9
01/08/2017 13:00 EST,22,5,0,9.2
01/08/2017 14:00 EST,23,5,0,9.2
01/08/2017 15:00 EST,24,3,0,9.2
01/08/2017 16:00 EST,24,0,0,5.8
01/08/2017 17:00 EST,23,0,0,8.1
01/08/2017 18:00 EST,22,2,0,10.4
01/08/2017 19:00 EST,22,2,0,9.2
01/08/2017 20:00 EST,21,2,0,9.2
01/08/2017 21:00 EST,20,4,0,6.9
01/08/2017 22:00 EST,19,1,0,9.2
01/08/2017 23:00 EST,19,1,0,6.9
01/09/2017 00:00 EST,18,2,0,3.5
01/09/2017 01:00 EST,17,1,0,4.6
01/09/2017 02:00 EST,16,0,0,4.6
01/09/2017 03:00 EST,16,1,0,4.6
01/09/2017 04:00 EST,15,1,0,4.6
01/09/2017 05:00 EST,15,1,0,9.2
01/09/2017 06:00 EST,15,2,0,8.1
01/09/2017 07:00 EST,15,1,0,3.5
01/09/2017 08:00 EST,15,2,0,0
01/09/2017 09:00 EST,16,3,0,4.6
01/09/2017 10:00 EST,17,3,0,5.8
01/09/2017 11:00 EST,19,3,0,0
01/09/2017 12:00 EST,20,4,0,4.6
01/09/2017 13:00 EST,20,3,0,6.9
01/09/2017 14:00 EST,21,3,0,8.1
01/09/2017 15:00 EST,22,5,0,5.8
01/09/2017 16:00 EST,23,7,0,3.5
01/09/2017 17:00 EST,22,7,0,8.1
01/09/2017 18:00 EST,22,9,0,0
01/09/2017 19:00 EST,23,8,0,4.6
01/09/2017 20:00 EST,23,9,0,4.6
01/09/2017 21:00 EST,23,8,0,11.5
01/09/2017 22:00 EST,22,7,0,12.7
01/09/2017 23:00 EST,21,9,0,9.2
01/10/2017 00:00 EST,22,9,0,6.9
01/10/2017 01:00 EST,22,9,0,5.8
01/10/2017 02:00 EST,22,9,0,4.6
01/10/2017 03:00 EST,22,10,0,5.8
01/10/2017 04:00 EST,22,10,0,4.6
01/10/2017 05:00 EST,23,12,0,8.1
01/10/2017 06:00 EST,23,11,0,3.5
01/10/2017 07:00 EST,24,9,0,0
01/10/2017 08:00 EST,25,12,0,0
01/10/2017 09:00 EST,27,13,0,3.5
01/10/2017 10:00 EST,29,13,0,3.5
01/10/2017 11:00 EST,31,10,0,8.1
01/10/2017 12:00 EST,33,14,0,8.1
01/10/2017 13:00 EST,34,20,0,3.5
01/10/2017 14:00 EST,34,24,0,4.6
01/10/2017 15:00 EST,35,27,0,3.5
01/10/2017 16:00 EST,36,29,0,3.5
01/10/2017 17:00 EST,37,30,0,6.9
01/10/2017 18:00 EST,37,31,0,0
01/10/2017 19:00 EST,38,32,0,4.6
01/10/2017 20:00 EST,40,34,0,4.6
01/10/2017 21:00 EST,41,35,0,5.8
01/10/2017 22:00 EST,44,37,0,8.1
01/10/2017 23:00 EST,44,37,0,6.9
01/11/2017 00:00 EST,45,39,0,12.7
01/11/2017 01:00 EST,45,38,0,5.8
01/11/2017 02:00 EST,43,39,0.03,6.9
01/11/2017 03:00 EST,44,41,0.13,3.5
01/11/2017 04:00 EST,46,42,0.1,6.9
01/11/2017 05:00 EST,46,41,0,6.9
01/11/2017 06:00 EST,45,40,0,13.8
01/11/2017 07:00 EST,43,38,0,9.2
01/11/2017 08:00 EST,43,37,0,9.2
01/11/2017 09:00 EST,43,36,0,11.5
01/11/2017 10:00 EST,44,36,0,5.8
01/11/2017 11:00 EST,47,36,0,4.6
01/11/2017 12:00 EST,48,37,0,5.2
01/11/2017 13:00 EST,50,37,0,5.8
01/11/2017 14:00 EST,50,37,0,5.8
01/11/2017 15:00 EST,51,37,0,0
01/11/2017 16:00 EST,51,36,0,3.5
01/11/2017 17:00 EST,50,38,0,5.8
01/11/2017 18:00 EST,47,39,0,3.5
01/11/2017 19:00 EST,48,41,0,9.2
01/11/2017 20:00 EST,48,41,0,5.8
01/11/2017 21:00 EST,50,40,0,3.5
01/11/2017 22:00 EST,48,43,0.03,5.2
01/11/2017 23:00 EST,46,44,0.1,6.9
01/12/2017 00:00 EST,46,45,0.12,3.5
01/12/2017 01:00 EST,48,46,0.04,4.6
01/12/2017 02:00 EST,50,47,0,10.4
01/12/2017 03:00 EST,51,48,0.01,9.2
01/12/2017 04:00 EST,52,49,0.01,5.8
01/12/2017 05:00 EST,53,49,0,6.9
01/12/2017 06:00 EST,53,49,0,8.1
01/12/2017 07:00 EST,54,49,0,9.2
01/12/2017 08:00 EST,54,50,0,9.2
01/12/2017 09:00 EST,55,50,0,8.1
01/12/2017 10:00 EST,56,51,0,9.2
01/12/2017 11:00 EST,58,51,0,6.9
01/12/2017 12:00 EST,60,52,0,5.8
01/12/2017 13:00 EST,63,52,0,10.4
01/12/2017 14:00 EST,65,52,0,8.1
01/12/2017 15:00 EST,65,51,0,8.1
01/12/2017 16:00 EST,65,51,0,9.2
01/12/2017 17:00 EST,64,51,0,6.9
01/12/2017 18:00 EST,64,51,0,4.6
01/12/2017 19:00 EST,65,51,0,4.6
01/12/2017 20:00 EST,64,51,0,5.8
01/12/2017 21:00 EST,64,51,0,7.5
01/12/2017 22:00 EST,64,51,0,9.2
01/12/2017 23:00 EST,63,51,0,6.9
01/13/2017 00:00 EST,63,-,0,12.7
01/13/2017 01:00 EST,61,53,0,10.4
01/13/2017 02:00 EST,60,53,0,4.6
01/13/2017 03:00 EST,59,53,0,5.8
01/13/2017 04:00 EST,58,50,0,5.8
01/13/2017 05:00 EST,56,48,0,10.4
01/13/2017 06:00 EST,52,43,0,8.1
01/13/2017 07:00 EST,49,40,0,6.9
01/13/2017 08:00 EST,47,36,0,3.5
01/13/2017 09:00 EST,46,31,0,12.7
01/13/2017 10:00 EST,45,28,0,8.1
01/13/2017 11:00 EST,45,25,0,6.9
01/13/2017 12:00 EST,46,26,0,5.2
01/13/2017 13:00 EST,46,22,0,3.5
01/13/2017 14:00 EST,45,21,0,8.1
01/13/2017 15:00 EST,44,19,0,8.1
01/13/2017 16:00 EST,42,14,0,8.1
01/13/2017 17:00 EST,40,14,0,6.9
01/13/2017 18:00 EST,38,14,0,9.2
01/13/2017 19:00 EST,36,14,0,4.6
01/13/2017 20:00 EST,35,14,0,4.6
01/13/2017 21:00 EST,34,15,0,9.2
01/13/2017 22:00 EST,33,14,0,6.9
01/13/2017 23:00 EST,32,13,0,8.1
01/14/2017 00:00 EST,32,14,0,5.8
01/14/2017 01:00 EST,32,14,0,3.5
01/14/2017 02:00 EST,32,16,0,9.2
01/14/2017 03:00 EST,31,14,0,6.9
01/14/2017 04:00 EST,30,13,0,9.2
01/14/2017 05:00 EST,30,14,0,3.5
01/14/2017 06:00 EST,29,13,0,6.9
01/14/2017 07:00 EST,28,13,0,5.8
01/14/2017 08:00 EST,28,13,0,5.8
01/14/2017 09:00 EST,29,12,0,4.6
01/14/2017 10:00 EST,31,13,0,3.5
01/14/2017 11:00 EST,32,15,0,8.1
01/14/2017 12:00 EST,32,15,0,3.5
01/14/2017 13:00 EST,33,15,0,0
01/14/2017 14:00 EST,33,16,0,3.5
01/14/2017 15:00 EST,32,20,0,0
01/14/2017 16:00 EST,29,26,0.03,3.5
01/14/2017 17:00 EST,29,27,0.04,0
01/14/2017 18:00 EST,31,28,0.02,4.6
01/14/2017 19:00 EST,30,28,0.02,0
01/14/2017 20:00 EST,31,28,0.01,0
01/14/2017 21:00 EST,32,29,0,3.5
01/14/2017 22:00 EST,31,29,0,4.6
01/14/2017 23:00 EST,31,28,0,5.8
01/15/2017 00:00 EST,32,28,0,6.9
01/15/2017 01:00 EST,32,28,0,8.1
01/15/2017 02:00 EST,32,27,0,5.8
01/15/2017 03:00 EST,32,27,0,5.8
01/15/2017 04:00 EST,31,26,0,5.8
01/15/2017 05:00 EST,31,25,0,6.9
01/15/2017 06:00 EST,30,24,0,5.8
01/15/2017 07:00 EST,30,23,0,9.2
01/15/2017 08:00 EST,30,21,0,4.6
01/15/2017 09:00 EST,31,20,0,3.5
01/15/2017 10:00 EST,33,21,0,3.5
01/15/2017 11:00 EST,34,20,0,0
01/15/2017 12:00 EST,36,21,0,4
01/15/2017 13:00 EST,37,20,0,8.1
01/15/2017 14:00 EST,37,20,0,3.5
01/15/2017 15:00 EST,38,20,0,6.9
01/15/2017 16:00 EST,38,20,0,3.5
01/15/2017 17:00 EST,37,20,0,4.6
01/15/2017 18:00 EST,37,20,0,0
01/15/2017 19:00 EST,36,20,0,3.5
01/15/2017 20:00 EST,35,19,0,4.6
01/15/2017 21:00 EST,34,19,0,3.5
01/15/2017 22:00 EST,33,19,0,0
01/15/2017 23:00 EST,32,19,0,3.5
01/16/2017 00:00 EST,32,19,0,0
01/16/2017 01:00 EST,31,19,0,3.5
01/16/2017 02:00 EST,31,20,0,3.5
01/16/2017 03:00 EST,31,20,0,3.5
01/16/2017 04:00 EST,31,17,0,4.6
01/16/2017 05:00 EST,30,16,0,4.6
01/16/2017 06:00 EST,30,17,0,4.6
01/16/2017 07:00 EST,30,19,0,3.5
01/16/2017 08:00 EST,31,18,0,3.5
01/16/2017 09:00 EST,32,20,0,0
01/16/2017 10:00 EST,34,20,0,0
01/16/2017 11:00 EST,36,21,0,3.5
01/16/2017 12:00 EST,38,21,0,3.5
01/16/2017 13:00 EST,40,21,0,6.9
01/16/2017 14:00 EST,41,21,0,3.5
01/16/2017 15:00 EST,43,21,0,4.6
01/16/2017 16:00 EST,42,22,0,8.1
01/16/2017 17:00 EST,41,23,0,4.6
01/16/2017 18:00 EST,41,24,0,4.6
01/16/2017 19:00 EST,41,24,0,4.6
01/16/2017 20:00 EST,41,24,0,3.5
01/16/2017 21:00 EST,41,24,0,11.5
01/16/2017 22:00 EST,41,24,0,9.2
01/16/2017 23:00 EST,41,24,0,5.8
01/17/2017 00:00 EST,40,25,0,4.6
01/17/2017 01:00 EST,40,25,0,6.9
01/17/2017 02:00 EST,40,26,0,4.6
01/17/2017 03:00 EST,40,26,0,4.6
01/17/2017 04:00 EST,40,27,0,5.8
01/17/2017 05:00 EST,40,27,0,5.8
01/17/2017 06:00 EST,40,27,0,5.8
01/17/2017 07:00 EST,40,28,0,0
01/17/2017 08:00 EST,40,28,0,0
01/17/2017 09:00 EST,42,28,0,0
01/17/2017 10:00 EST,40,33,0,3.5
01/17/2017 11:00 EST,40,36,0.02,0
01/17/2017 12:00 EST,40,37,0.04,3.5
01/17/2017 13:00 EST,40,38,0.04,3.5
01/17/2017 14:00 EST,39,36,0.03,5.8
01/17/2017 15:00 EST,39,38,0,5.8
01/17/2017 16:00 EST,40,37,0.01,6.9
01/17/2017 17:00 EST,40,37,0,6.9
01/17/2017 18:00 EST,39,38,0.02,5.8
01/17/2017 19:00 EST,39,37,0.05,4.6
01/17/2017 20:00 EST,39,38,0.07,6.9
01/17/2017 21:00 EST,39,38,0.02,4.6
01/17/2017 22:00 EST,39,37,0.02,8.1
01/17/2017 23:00 EST,38,37,0,8.1
01/18/2017 00:00 EST,38,37,0.02,9.2
01/18/2017 01:00 EST,38,37,0.02,9.2
01/18/2017 02:00 EST,38,37,0,8.1
01/18/2017 03:00 EST,38,38,0.01,6.9
01/18/2017 04:00 EST,39,39,0.04,3.5
01/18/2017 05:00 EST,40,39,0,6.9
01/18/2017 06:00 EST,40,39,0,8.1
01/18/2017 07:00 EST,40,39,0,8.1
01/18/2017 08:00 EST,40,39,0,5.8
01/18/2017 09:00 EST,40,39,0,6.9
01/18/2017 10:00 EST,39,38,0,6.9
01/18/2017 11:00 EST,40,38,0,7.5
01/18/2017 12:00 EST,40,38,0,8.1
01/18/2017 13:00 EST,40,38,0,4.6
01/18/2017 14:00 EST,39,37,0,9.2
01/18/2017 15:00 EST,40,37,0,6.9
01/18/2017 16:00 EST,41,36,0,5.8
01/18/2017 17:00 EST,40,37,0,5.8
01/18/2017 18:00 EST,40,36,0,4.6
01/18/2017 19:00 EST,40,37,0,8.1
01/18/2017 20:00 EST,40,36,0,3.5
01/18/2017 21:00 EST,40,36,0,0
01/18/2017 22:00 EST,40,36,0,8.1
01/18/2017 23:00 EST,40,36,0,0
01/19/2017 00:00 EST,40,36,0,0
01/19/2017 01:00 EST,39,35,0,0
01/19/2017 02:00 EST,40,35,0,0
01/19/2017 03:00 EST,39,35,0,0
01/19/2017 04:00 EST,40,36,0,0
01/19/2017 05:00 EST,41,36,0,0
01/19/2017 06:00 EST,41,36,0,4.6
01/19/2017 07:00 EST,40,36,0,3.5
01/19/2017 08:00 EST,41,36,0,3.5
01/19/2017 09:00 EST,41,36,0,0
01/19/2017 10:00 EST,43,36,0,4.6
01/19/2017 11:00 EST,46,35,0,6.9
01/19/2017 12:00 EST,47,34,0,5.8
01/19/2017 13:00 EST,48,34,0,6.9
01/19/2017 14:00 EST,45,34,0,8.1
01/19/2017 15:00 EST,45,34,0,3.5
01/19/2017 16:00 EST,44,33,0,8.1
01/19/2017 17:00 EST,44,33,0,8.1
01/19/2017 18:00 EST,44,33,0,4.6
01/19/2017 19:00 EST,43,32,0,6.9
01/19/2017 20:00 EST,43,32,0,4.6
01/19/2017 21:00 EST,42,32,0,0
01/19/2017 22:00 EST,42,32,0,4.6
01/19/2017 23:00 EST,43,33,0,3.5
01/20/2017 00:00 EST,43,33,0,0
01/20/2017 01:00 EST,42,33,0,6.9
01/20/2017 02:00 EST,42,32,0,3.5
01/20/2017 03:00 EST,41,31,0,10.4
01/20/2017 04:00 EST,40,30,0,5.8
01/20/2017 05:00 EST,40,31,0,4.6
01/20/2017 06:00 EST,40,31,0,3.5
01/20/2017 07:00 EST,40,31,0,4.6
01/20/2017 08:00 EST,40,31,0,5.8
01/20/2017 09:00 EST,41,31,0,5.8
01/20/2017 10:00 EST,42,32,0,5.8
01/20/2017 11:00 EST,42,32,0,0
01/20/2017 12:00 EST,44,34,0,0
01/20/2017 13:00 EST,45,33,0,5.8
01/20/2017 14:00 EST,45,33,0,3.5
01/20/2017 15:00 EST,45,34,0,5.8
01/20/2017 16:00 EST,42,37,0.01,3.5
01/20/2017 17:00 EST,41,38,0.04,3.5
01/20/2017 18:00 EST,40,38,0.03,0
01/20/2017 19:00 EST,40,39,0.02,3.5
01/20/2017 20:00 EST,41,39,0,3.5
01/20/2017 21:00 EST,41,39,0,5.8
01/20/2017 22:00 EST,41,40,0,0
01/20/2017 23:00 EST,41,40,0,4.6
01/21/2017 00:00 EST,41,40,0,0
01/21/2017 01:00 EST,42,40,0,6.9
01/21/2017 02:00 EST,42,40,0,5.8
01/21/2017 03:00 EST,42,40,0,6.9
01/21/2017 04:00 EST,42,40,0,4.6
01/21/2017 05:00 EST,41,41,0,8.1
01/21/2017 06:00 EST,42,41,0,3.5
01/21/2017 07:00 EST,42,40,0,6.9
01/21/2017 08:00 EST,42,41,0,3.5
01/21/2017 09:00 EST,43,41,0,0
01/21/2017 10:00 EST,43,41,0,2.9
01/21/2017 11:00 EST,43,41,0,5.8
01/21/2017 12:00 EST,43,41,0,6.9
01/21/2017 13:00 EST,44,42,0,0
01/21/2017 14:00 EST,48,43,0,0
01/21/2017 15:00 EST,46,42,0,3.5
01/21/2017 16:00 EST,45,43,0,3.5
01/21/2017 17:00 EST,45,43,0,5.8
01/21/2017 18:00 EST,45,44,0,0
01/21/2017 19:00 EST,45,44,0,5.8
01/21/2017 20:00 EST,44,44,0,0
01/21/2017 21:00 EST,45,45,0,3.5
01/21/2017 22:00 EST,44,44,0,4.6
01/21/2017 23:00 EST,44,44,0,3.5
01/22/2017 00:00 EST,44,44,0,0
01/22/2017 01:00 EST,43,43,0,4.6
01/22/2017 02:00 EST,44,44,0,3.5
01/22/2017 03:00 EST,44,44,0,0
01/22/2017 04:00 EST,43,43,0,0
01/22/2017 05:00 EST,44,44,0,0
01/22/2017 06:00 EST,43,43,0,0
01/22/2017 07:00 EST,43,43,0,3.5
01/22/2017 08:00 EST,43,43,0,4.6
01/22/2017 09:00 EST,44,44,0,4.6
01/22/2017 10:00 EST,44,44,0,4.6
01/22/2017 11:00 EST,46,45,0,5.8
01/22/2017 12:00 EST,45,43,0,5.8
01/22/2017 13:00 EST,45,42,0,8.1
01/22/2017 14:00 EST,47,42,0,6.9
01/22/2017 15:00 EST,46,42,0,11.5
01/22/2017 16:00 EST,46,44,0,10.4
01/22/2017 17:00 EST,46,45,0.04,5.8
01/22/2017 18:00 EST,46,44,0.01,9.2
01/22/2017 19:00 EST,46,43,0,6.9
01/22/2017 20:00 EST,47,43,0,11.5
01/22/2017 21:00 EST,47,41,0,11.5
01/22/2017 22:00 EST,46,41,0,10.4
01/22/2017 23:00 EST,45,40,0,16.1
01/23/2017 00:00 EST,44,40,0,12.7
01/23/2017 01:00 EST,43,40,0,16.1
01/23/2017 02:00 EST,43,40,0,9.2
01/23/2017 03:00 EST,42,39,0,16.1
01/23/2017 04:00 EST,42,38,0,20.7
01/23/2017 05:00 EST,41,37,0,15
01/23/2017 06:00 EST,41,35,0,17.3
01/23/2017 07:00 EST,41,34,0,15
01/23/2017 08:00 EST,40,34,0,15
01/23/2017 09:00 EST,40,31,0,23
01/23/2017 10:00 EST,40,30,0,25.3
01/23/2017 11:00 EST,40,30,0,20.7
01/23/2017 12:00 EST,40,31,0,19.6
01/23/2017 13:00 EST,40,31,0,21.9
01/23/2017 14:00 EST,40,31,0,19.6
01/23/2017 15:00 EST,40,31,0,23
01/23/2017 16:00 EST,38,32,0.01,20.7
01/23/2017 17:00 EST,38,33,0.02,23
01/23/2017 18:00 EST,37,34,0.1,10.4
01/23/2017 19:00 EST,36,34,0.18,19.6
01/23/2017 20:00 EST,36,34,0.17,17.3
01/23/2017 21:00 EST,36,34,0.12,17.3
01/23/2017 22:00 EST,36,35,0.17,17.3
01/23/2017 23:00 EST,36,35,0.18,19.6
01/24/2017 00:00 EST,36,35,0.18,16.1
01/24/2017 01:00 EST,37,35,0.17,17.3
01/24/2017 02:00 EST,37,35,0.15,17.3
01/24/2017 03:00 EST,37,35,0.07,13.8
01/24/2017 04:00 EST,37,35,0.02,15
01/24/2017 05:00 EST,36,35,0.06,10.4
01/24/2017 06:00 EST,35,35,0.04,8.1
01/24/2017 07:00 EST,35,34,0.02,9.2
01/24/2017 08:00 EST,35,35,0,13.8
01/24/2017 09:00 EST,35,35,0,15
01/24/2017 10:00 EST,36,35,0.03,10.4
01/24/2017 11:00 EST,36,35,0,6.9
01/24/2017 12:00 EST,36,36,0.04,12.7
01/24/2017 13:00 EST,36,35,0.15,8.1
01/24/2017 14:00 EST,36,35,0.12,5.8
01/24/2017 15:00 EST,36,35,0.04,6.9
01/24/2017 16:00 EST,36,35,0.04,5.8
01/24/2017 17:00 EST,37,36,0.09,6.9
01/24/2017 18:00 EST,38,36,0.03,8.1
01/24/2017 19:00 EST,38,35,0,11.5
01/24/2017 20:00 EST,37,34,0.03,6.9
01/24/2017 21:00 EST,36,34,0.09,9.2
01/24/2017 22:00 EST,36,34,0.01,10.4
01/24/2017 23:00 EST,37,33,0,6.9
01/25/2017 00:00 EST,37,30,0.01,6.9
01/25/2017 01:00 EST,37,29,0,10.4
01/25/2017 02:00 EST,37,28,0,9.2
01/25/2017 03:00 EST,37,27,0,9.2
01/25/2017 04:00 EST,37,28,0,6.9
01/25/2017 05:00 EST,37,29,0,4.6
01/25/2017 06:00 EST,37,28,0,4.6
01/25/2017 07:00 EST,38,28,0,6.9
